benchmark,repetition_id,exception,tool,mtf,repeatibility
closure,24,java.lang.NullPointerException,pest2,6,1.0
closure,25,java.lang.NullPointerException,pest2,23,1.0
rhino,1,java.lang.IllegalStateException,zest,11,1.0
rhino,2,java.lang.IllegalStateException,zest,18,1.0
rhino,3,java.lang.IllegalStateException,zest,3,1.0
rhino,4,java.lang.IllegalStateException,zest,11,1.0
rhino,5,java.lang.IllegalStateException,zest,14,1.0
rhino,6,java.lang.IllegalStateException,zest,20,1.0
rhino,7,java.lang.IllegalStateException,zest,26,1.0
rhino,8,java.lang.IllegalStateException,zest,10,1.0
rhino,9,java.lang.IllegalStateException,zest,21,1.0
rhino,10,java.lang.IllegalStateException,zest,4,1.0
rhino,11,java.lang.IllegalStateException,zest,9,1.0
rhino,12,java.lang.IllegalStateException,zest,12,1.0
rhino,13,java.lang.IllegalStateException,zest,26,1.0
rhino,14,java.lang.IllegalStateException,zest,20,1.0
rhino,15,java.lang.IllegalStateException,zest,4,1.0
rhino,16,java.lang.IllegalStateException,zest,12,1.0
rhino,17,java.lang.IllegalStateException,zest,7,1.0
rhino,18,java.lang.IllegalStateException,zest,32,1.0
rhino,19,java.lang.IllegalStateException,zest,48,1.0
rhino,20,java.lang.IllegalStateException,zest,11,1.0
rhino,21,java.lang.IllegalStateException,zest,9,1.0
rhino,22,java.lang.IllegalStateException,zest,3,1.0
rhino,23,java.lang.IllegalStateException,zest,6,1.0
rhino,24,java.lang.IllegalStateException,zest,38,1.0
rhino,25,java.lang.IllegalStateException,zest,45,1.0
rhino,1,java.lang.IllegalStateException,pest,2,1.0
rhino,2,java.lang.IllegalStateException,pest,2,1.0
rhino,3,java.lang.IllegalStateException,pest,4,1.0
rhino,4,java.lang.IllegalStateException,pest,8,1.0
rhino,5,java.lang.IllegalStateException,pest,10,1.0
rhino,6,java.lang.IllegalStateException,pest,4,1.0
rhino,7,java.lang.IllegalStateException,pest,14,1.0
rhino,8,java.lang.IllegalStateException,pest,23,1.0
rhino,9,java.lang.IllegalStateException,pest,9,1.0
rhino,10,java.lang.IllegalStateException,pest,5,1.0
rhino,11,java.lang.IllegalStateException,pest,34,1.0
rhino,12,java.lang.IllegalStateException,pest,18,1.0
rhino,13,java.lang.IllegalStateException,pest,33,1.0
rhino,14,java.lang.IllegalStateException,pest,8,1.0
rhino,15,java.lang.IllegalStateException,pest,3,1.0
rhino,16,java.lang.IllegalStateException,pest,2,1.0
rhino,17,java.lang.IllegalStateException,pest,6,1.0
rhino,18,java.lang.IllegalStateException,pest,4,1.0
rhino,19,java.lang.IllegalStateException,pest,4,1.0
rhino,20,java.lang.IllegalStateException,pest,24,1.0
rhino,21,java.lang.IllegalStateException,pest,17,1.0
rhino,22,java.lang.IllegalStateException,pest,3,1.0
rhino,23,java.lang.IllegalStateException,pest,6,1.0
rhino,24,java.lang.IllegalStateException,pest,8,1.0
rhino,25,java.lang.IllegalStateException,pest,6,1.0
rhino,1,java.lang.IllegalStateException,pest2,7,1.0
rhino,2,java.lang.IllegalStateException,pest2,11,1.0
rhino,3,java.lang.IllegalStateException,pest2,26,1.0
rhino,4,java.lang.IllegalStateException,pest2,4,1.0
rhino,5,java.lang.IllegalStateException,pest2,12,1.0
rhino,6,java.lang.IllegalStateException,pest2,21,1.0
rhino,7,java.lang.IllegalStateException,pest2,31,1.0
rhino,8,java.lang.IllegalStateException,pest2,8,1.0
rhino,9,java.lang.IllegalStateException,pest2,18,1.0
rhino,10,java.lang.IllegalStateException,pest2,19,1.0
rhino,11,java.lang.IllegalStateException,pest2,27,1.0
rhino,12,java.lang.IllegalStateException,pest2,13,1.0
rhino,13,java.lang.IllegalStateException,pest2,16,1.0
rhino,14,java.lang.IllegalStateException,pest2,2,1.0
rhino,15,java.lang.IllegalStateException,pest2,15,1.0
rhino,16,java.lang.IllegalStateException,pest2,13,1.0
rhino,17,java.lang.IllegalStateException,pest2,10,1.0
rhino,18,java.lang.IllegalStateException,pest2,11,1.0
rhino,19,java.lang.IllegalStateException,pest2,6,1.0
rhino,20,java.lang.IllegalStateException,pest2,8,1.0
rhino,21,java.lang.IllegalStateException,pest2,7,1.0
rhino,22,java.lang.IllegalStateException,pest2,9,1.0
rhino,23,java.lang.IllegalStateException,pest2,19,1.0
rhino,24,java.lang.IllegalStateException,pest2,10,1.0
rhino,25,java.lang.IllegalStateException,pest2,8,1.0
rhino,1,java.lang.VerifyError,zest,39,0.48
rhino,2,java.lang.VerifyError,zest,26,0.48
rhino,3,java.lang.VerifyError,zest,14,0.48
rhino,4,java.lang.VerifyError,zest,17,0.48
rhino,5,java.lang.VerifyError,zest,40,0.48
rhino,6,java.lang.VerifyError,zest,80,0.48
rhino,7,java.lang.VerifyError,zest,77,0.48
rhino,8,java.lang.VerifyError,zest,48,0.48
rhino,9,java.lang.VerifyError,zest,32,0.48
rhino,10,java.lang.VerifyError,zest,46,0.48
rhino,11,java.lang.VerifyError,zest,41,0.48
rhino,12,java.lang.VerifyError,zest,39,0.48
